,project_id,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Index,cross-entropy,total_author,total_commit_project,author_id,total_commit_author,percent,contributor,max,ownership
30,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,30699741,24,1.8706157443491815,Minor,44.27123928293063,No
31,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,30752854,2,0.1558846453624318,Minor,44.27123928293063,No
32,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,33710280,13,1.0132501948558068,Minor,44.27123928293063,No
33,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,37713417,15,1.1691348402182384,Minor,44.27123928293063,No
34,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,38873174,62,4.832424006235386,Minor,44.27123928293063,No
35,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,51640695,4,0.3117692907248636,Minor,44.27123928293063,No
36,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,77302,15,0.8650519031141869,Minor,31.60322952710496,No
37,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,92696,1,0.05767012687427912,Minor,31.60322952710496,No
38,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,121009,1,0.05767012687427912,Minor,31.60322952710496,No
39,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,230603,4,0.2306805074971165,Minor,31.60322952710496,No
40,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,826332,1,0.05767012687427912,Minor,31.60322952710496,No
41,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,1816437,2,0.11534025374855825,Minor,31.60322952710496,No
42,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,2464962,18,1.0380622837370241,Minor,31.60322952710496,No
43,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,2538889,2,0.11534025374855825,Minor,31.60322952710496,No
44,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,2709375,6,0.3460207612456747,Minor,31.60322952710496,No
45,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,2865764,1,0.05767012687427912,Minor,31.60322952710496,No
46,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,3092894,452,26.066897347174162,Major,31.60322952710496,No
47,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,3161753,37,2.1337946943483277,Minor,31.60322952710496,No
48,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,3505783,14,0.8073817762399077,Minor,31.60322952710496,No
49,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,5559993,466,26.874279123414073,Major,31.60322952710496,No
50,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,6793148,164,9.457900807381776,Major,31.60322952710496,No
51,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,7018574,2,0.11534025374855825,Minor,31.60322952710496,No
52,27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,7226030,548,31.60322952710496,Major,31.60322952710496,Yes
53,27496810,5100.0,3550.0,3691.0,328.0,105.0,1063.0,241.0,1043.0,177.0,1079.0,627.0,1203.0,1256.0,1830.0,11245.40275,99.30838,71604.99765999996,86.44999500000004,4.601152999999999,11,1524,185933,18,1.1811023622047243,Minor,29.79002624671916,No
54,27496810,5100.0,3550.0,3691.0,328.0,105.0,1063.0,241.0,1043.0,177.0,1079.0,627.0,1203.0,1256.0,1830.0,11245.40275,99.30838,71604.99765999996,86.44999500000004,4.601152999999999,11,1524,3606030,2,0.13123359580052493,Minor,29.79002624671916,No
55,27496810,5100.0,3550.0,3691.0,328.0,105.0,1063.0,241.0,1043.0,177.0,1079.0,627.0,1203.0,1256.0,1830.0,11245.40275,99.30838,71604.99765999996,86.44999500000004,4.601152999999999,11,1524,7914627,120,7.874015748031496,Major,29.79002624671916,No
56,27496810,5100.0,3550.0,3691.0,328.0,105.0,1063.0,241.0,1043.0,177.0,1079.0,627.0,1203.0,1256.0,1830.0,11245.40275,99.30838,71604.99765999996,86.44999500000004,4.601152999999999,11,1524,10179626,188,12.335958005249344,Major,29.79002624671916,No
57,27496810,5100.0,3550.0,3691.0,328.0,105.0,1063.0,241.0,1043.0,177.0,1079.0,627.0,1203.0,1256.0,1830.0,11245.40275,99.30838,71604.99765999996,86.44999500000004,4.601152999999999,11,1524,10388468,72,4.724409448818897,Minor,29.79002624671916,No
58,27496810,5100.0,3550.0,3691.0,328.0,105.0,1063.0,241.0,1043.0,177.0,1079.0,627.0,1203.0,1256.0,1830.0,11245.40275,99.30838,71604.99765999996,86.44999500000004,4.601152999999999,11,1524,11162864,454,29.79002624671916,Major,29.79002624671916,Yes
59,27496810,5100.0,3550.0,3691.0,328.0,105.0,1063.0,241.0,1043.0,177.0,1079.0,627.0,1203.0,1256.0,1830.0,11245.40275,99.30838,71604.99765999996,86.44999500000004,4.601152999999999,11,1524,11846809,307,20.144356955380577,Major,29.79002624671916,No
60,27496810,5100.0,3550.0,3691.0,328.0,105.0,1063.0,241.0,1043.0,177.0,1079.0,627.0,1203.0,1256.0,1830.0,11245.40275,99.30838,71604.99765999996,86.44999500000004,4.601152999999999,11,1524,31912515,202,13.254593175853019,Major,29.79002624671916,No
61,27496810,5100.0,3550.0,3691.0,328.0,105.0,1063.0,241.0,1043.0,177.0,1079.0,627.0,1203.0,1256.0,1830.0,11245.40275,99.30838,71604.99765999996,86.44999500000004,4.601152999999999,11,1524,32787469,75,4.921259842519685,Minor,29.79002624671916,No
62,27496810,5100.0,3550.0,3691.0,328.0,105.0,1063.0,241.0,1043.0,177.0,1079.0,627.0,1203.0,1256.0,1830.0,11245.40275,99.30838,71604.99765999996,86.44999500000004,4.601152999999999,11,1524,35594804,84,5.511811023622047,Major,29.79002624671916,No
63,27496810,5100.0,3550.0,3691.0,328.0,105.0,1063.0,241.0,1043.0,177.0,1079.0,627.0,1203.0,1256.0,1830.0,11245.40275,99.30838,71604.99765999996,86.44999500000004,4.601152999999999,11,1524,36266650,2,0.13123359580052493,Minor,29.79002624671916,No
64,27940657,4612.0,3499.0,3728.0,285.0,0.0,642.0,242.0,1084.0,223.0,785.0,455.0,880.0,1008.0,1335.0,6143.490440000001,124.46968000000001,21833.65072,63.73386119402985,4.4713590000000005,1,622,3129544,622,100.0,Major,100.0,Yes
65,28261590,19723.0,11016.0,13820.0,1129.0,1320.0,3600.0,983.0,2358.0,610.0,4853.0,3590.0,6953.0,5463.0,10543.0,73834.30488999997,432.433228,820234.8543400002,53.20401764705882,3.660523,5,778,683027,139,17.866323907455012,Major,56.16966580976864,No
