project_id,author_id,total_commit_author,total_commit_project,percent,contributor,major,minor
29379373,33299634,15,1042,1.4395393474088292,Minor,7,17
29817913,3864918,923,959,96.24608967674662,Major,1,2
29817913,8720413,10,959,1.0427528675703857,Minor,1,2
29817913,33207157,26,959,2.7111574556830034,Minor,1,2
30169075,43395,15,549,2.73224043715847,Minor,1,21
30169075,51464,5,549,0.9107468123861567,Minor,1,21
30169075,65011,4,549,0.7285974499089253,Minor,1,21
30169075,81933,1,549,0.18214936247723132,Minor,1,21
30169075,263230,3,549,0.546448087431694,Minor,1,21
30169075,349292,4,549,0.7285974499089253,Minor,1,21
30169075,535536,4,549,0.7285974499089253,Minor,1,21
30169075,565932,1,549,0.18214936247723132,Minor,1,21
30169075,1462944,7,549,1.2750455373406193,Minor,1,21
30169075,1815626,1,549,0.18214936247723132,Minor,1,21
30169075,1891298,1,549,0.18214936247723132,Minor,1,21
30169075,1934671,463,549,84.3351548269581,Major,1,21
30169075,2356328,15,549,2.73224043715847,Minor,1,21
30169075,2922462,5,549,0.9107468123861567,Minor,1,21
30169075,3460369,1,549,0.18214936247723132,Minor,1,21
30169075,4446176,1,549,0.18214936247723132,Minor,1,21
30169075,4622362,3,549,0.546448087431694,Minor,1,21
30169075,5785518,7,549,1.2750455373406193,Minor,1,21
30169075,7280075,1,549,0.18214936247723132,Minor,1,21
30169075,9510716,5,549,0.9107468123861567,Minor,1,21
30169075,11520874,1,549,0.18214936247723132,Minor,1,21
30169075,17939277,1,549,0.18214936247723132,Minor,1,21
31015510,51295,4,946,0.42283298097251587,Minor,4,7
31015510,55173,282,946,29.809725158562365,Major,4,7
31015510,55190,130,946,13.742071881606766,Major,4,7
31015510,153597,408,946,43.12896405919662,Major,4,7
31015510,2554935,60,946,6.342494714587738,Major,4,7
31015510,3594250,6,946,0.6342494714587738,Minor,4,7
31015510,7730437,3,946,0.3171247357293869,Minor,4,7
31015510,7820434,8,946,0.8456659619450317,Minor,4,7
31015510,8325014,2,946,0.21141649048625794,Minor,4,7
31015510,10328397,2,946,0.21141649048625794,Minor,4,7
31015510,31045607,41,946,4.334038054968287,Minor,4,7
31030536,9412500,1,1148,0.08710801393728224,Minor,1,1
31030536,11151126,1147,1148,99.91289198606272,Major,1,1
31069027,6059,5,853,0.5861664712778429,Minor,5,6
31069027,1451841,74,853,8.675263774912075,Major,5,6
31069027,4250693,510,853,59.78898007033998,Major,5,6
31069027,4276291,105,853,12.3094958968347,Major,5,6
31069027,7523504,70,853,8.206330597889801,Major,5,6
31069027,8800835,54,853,6.3305978898007025,Major,5,6
31069027,10984633,2,853,0.23446658851113714,Minor,5,6
31069027,12410987,2,853,0.23446658851113714,Minor,5,6
31069027,30395485,9,853,1.0550996483001172,Minor,5,6
31069027,46248144,17,853,1.992966002344666,Minor,5,6
31069027,48630557,5,853,0.5861664712778429,Minor,5,6
31125446,9730777,423,423,100.0,Major,1,0
31400029,6059,1,1141,0.0876424189307625,Minor,4,5
31400029,747465,11,1141,0.9640666082383873,Minor,4,5
31400029,1449312,313,1141,27.432077125328657,Major,4,5
31400029,2069912,33,1141,2.892199824715162,Minor,4,5
31400029,5083778,545,1141,47.76511831726556,Major,4,5
31400029,7045722,132,1141,11.568799298860649,Major,4,5
31400029,11000206,2,1141,0.175284837861525,Minor,4,5
31400029,11251179,1,1141,0.0876424189307625,Minor,4,5
31400029,42237123,103,1141,9.027169149868536,Major,4,5
31657027,7041,149,2094,7.115568290353391,Major,4,11
31657027,103640,10,2094,0.4775549188156638,Minor,4,11
31657027,170523,51,2094,2.4355300859598854,Minor,4,11
31657027,1224367,1,2094,0.04775549188156638,Minor,4,11
31657027,1728305,10,2094,0.4775549188156638,Minor,4,11
31657027,2746885,1,2094,0.04775549188156638,Minor,4,11
31657027,3200429,1269,2094,60.60171919770774,Major,4,11
31657027,4267713,1,2094,0.04775549188156638,Minor,4,11
