project_id,total_commit_project
6214315,5
6244687,1
6311888,6
6315379,10
6329190,2
6340025,3
6417154,10
6422406,14
6462119,105
6483493,2
6547863,27
6567432,4
6593186,9
6594923,1
6604088,10
6609159,2
6624529,29
6644742,7
6649245,46
6711203,2
6724960,2
6793238,1
6828525,4
6853872,10
6889296,1
6893848,4
6896834,1
6918588,18
6919137,12
6967887,28
6976539,2
7040834,1
7096998,4
7110987,7
7144783,12
7151444,3
7159388,24
7162300,1
7287273,15
7321268,5
7342991,32
7362439,21
7393519,3
7408410,2
7425683,11
7437744,2
7454990,6
7526232,9
7528592,1
7565135,2
7587716,27
7595598,1
7601021,4
7637651,10
7643407,19
7665723,1
7739362,1
7791153,1
7833465,3
7892054,2
7930661,5
8082396,2
8154673,2
8201837,83
8218713,6
8224069,2
8255210,21
8285448,1
8314566,21
8344187,56
8368928,3
8445433,6
8451316,86
8451829,7
8472134,3
8485780,14
8488682,2
8581459,9
8597951,15
8601369,4
8647930,2
8674620,6
8752657,9
8799532,4
8830128,3
8836576,2
8861893,7
8879643,1
8890938,10
8891302,1
8893429,2
9008221,16
9066905,9
9085292,2
9175303,20
9209983,4
9219786,17
9232866,2
9251360,1
9320439,6
9329669,10
9333431,15
9345396,16
9371284,5
9415457,10
9532956,2
9553530,2
9559879,9
9565652,2
9711910,3
9735590,2
9746670,10
9756818,112
9907113,7
9921508,8
9933781,19
9934228,14
9967650,3
9990586,1
10007155,23
10007589,9
10033189,2
10126122,25
10154365,5
10161837,5
10251757,25
10256972,1
10271400,16
10274730,2
10275728,19
10296275,8
10306912,5
10326560,7
10362065,2
10373038,21
10392486,51
10410721,1
10430545,4
10481293,3
10481543,6
10546263,2
10629130,5
10629590,16
10646845,3
10728870,86
10772491,14
10788113,10
10792242,9
10802114,34
10856375,4
10856518,1
10859952,2
10888132,3
10888938,7
10898649,40
10949245,2
10949747,2
10970847,1
10994630,1
10994810,1
11025206,3
11037883,4
11039704,8
11062737,5
11159468,8
11218554,4
11292475,101
11298377,5
11307473,5
11312396,3
11312617,4
11314971,13
11323333,3
11346846,5
11375505,3
11461505,5
11497152,10
11515400,5
11520005,31
11552793,2
11693841,5
11732673,98
11756167,15
11776697,94
11787286,31
11791655,1
11793858,24
11799531,5
11828384,3
11885561,8
11902075,12
12136995,1
12139282,18
12155209,34
12163333,22
12198546,4
12225117,8
12241592,6
12259227,2
12293361,13
12358810,3
12369263,14
12377743,122
12379879,8
12416387,5
12420309,2
12473215,2
12521864,13
12538519,92
12541136,13
12554861,36
12604221,48
12605805,18
12613929,6
12672732,4
12704999,5
12742066,5
12861307,2
12865809,31
12892427,18
12907361,1
12920429,1
12942096,3
12951472,8
13016168,2
13027690,2
13061835,4
13076744,2
13112909,11
13120054,12
13380051,1
13400388,8
13410296,24
13417773,8
13424262,9
13449919,2
13529156,27
13567176,50
13594272,5
13597808,2
13625497,102
13643600,29
13647223,24
13691022,15
13710831,13
13725863,26
13732658,10
13750038,3
13766059,27
13773588,16
13791048,4
13803372,5
13837477,2
13857382,5
13859737,2
13888781,2
13896787,33
13916618,1
13917964,8
13933119,39
14024364,5
14032482,30
14118614,7
14130748,5
14153626,21
14154987,43
14275798,3
14323598,4
14382721,2
14440900,66
14451002,26
14454817,37
14478685,19
14504975,13
14508596,18
14529586,7
14548214,4
14564387,1
14589615,1
14618431,2
14671163,7
14678206,2
14691229,1
14710080,29
14710964,14
14725781,20
14729417,2
14790867,20
14813477,61
14857305,4
14859008,19
14883091,3
14890988,5
14922370,2
14992865,5
15074955,144
15086892,1
15117619,1
15128412,16
15130403,2
15135939,5
15140433,4
15152669,6
15199084,23
15210312,6
15275243,4
15278251,2
15343566,7
15374893,6
15405260,12
15409499,56
15409906,1
15422076,19
15448325,3
15459909,19
15495305,4
15634159,45
15696060,8
15767660,201
15784345,8
15789986,1
15811353,22
15835634,2
15896410,1
15907748,10
16029949,27
16039199,3
16093312,9
16149640,2
16185827,3
16192548,22
16221978,5
16254278,11
16259881,2
16314045,74
16323068,219
16325983,159
16351003,2
16435081,355
16497278,56
16514240,35
16537991,1
16544594,17
16672686,2
16674349,5
16741668,1
16746862,1
16757542,10
16777588,18
16834093,67
16836647,14
16883648,21
16883833,2
16886616,10
16917380,13
16948215,7
16960628,20
16977578,3
16979984,13
17005656,1
17007551,1
17063052,3
17095840,3
17097675,11
17108099,1
17135781,5
17149129,1
17163632,3
17179032,399
17190067,13
17190134,2
17190672,2
17200041,1
17220884,4
17239321,30
17252523,10
17262718,28
17296969,1
17325127,37
17338744,2
17377376,22
17405969,3
17444115,4
17457359,75
17483170,7
17512612,29
17547125,7
17565304,5
17567108,2
17575277,1
17589997,4
17628313,5
17649607,43
17678817,9
17704567,20
17707411,8
17707578,11
17710120,11
17718107,3
17718637,6
17752480,2
17763064,23
17780460,2
17824507,2
17848036,3
17870912,9
17920985,7
17976013,8
18038271,11
18055606,19
18060940,3
18070872,15
18089556,4
18104740,1
18106878,5
18139887,5
18148486,4
18191454,1
18192667,1
18202228,3
18205089,2
18205201,12
18209388,6
18214958,30
18239131,5
18258815,8
18266358,15
18285123,1
18294271,2
18299467,8
18302532,6
18321395,7
18362728,1
18363535,20
18385890,9
18396163,2
18468036,1
18515138,10
18528047,110
18531219,3
18535435,1
18608078,9
18650680,64
18685195,2
18691677,1
18700224,1
18732159,1
18833509,11
18838581,1
18842093,1
18843948,7
18858010,1
18875864,7
18892930,1
18917538,37
18919991,12
19134456,66
19170596,2
19188682,14
19219629,2
19281379,5
19307949,4
19340576,30
19371541,10
19375988,2
19396176,5
19403084,23
19419714,2
19427695,1
19472872,7
19533710,3
19547250,8
19568281,13
19583839,13
19621080,8
19643880,1
19705247,3
19724219,1
19741902,2
19744011,1
19769695,2
19777413,10
19789486,8
19792470,1
19819025,1
19872085,10
19880941,2
19937975,1
19938622,4
19990703,9
20019774,6
20030139,10
20058224,3
20063563,3
20066255,5
20209949,11
20213804,1
20234079,2
20263239,29
20283499,3
20284708,3
20295950,16
20311800,3
20318477,12
20406220,3
20518254,5
20564775,23
20567497,10
20581261,4
20603602,17
20633021,1
20633976,5
20650461,3
20684709,21
20694503,17
20694627,5
20847742,2
20888448,12
20910982,35
20929255,12
20935209,3
20953095,9
21026820,8
21031766,7
21046319,4
21093615,5
21102475,38
21130393,3
21166309,3
21235392,3
21246887,11
21259070,16
21275284,3
21307270,3
21330521,14
21333583,9
21366486,9
21394265,13
21402543,19
21412103,7
21451715,1
21485890,2
21491726,1
21492896,27
21494722,1
21565633,3
21576476,3
21593843,4
21626737,6
21641565,34
21652367,2
21669678,10
21682863,2
21683354,595
21715394,3
21719165,5
21730041,10
21777959,4
21783207,11
21804795,10
21850460,1
21893994,10
21939293,11
21974437,1
21978925,1
21991755,1
22022815,19
22042199,3
22042579,80
22044766,31
22065247,5
22070661,10
22092936,5
22147806,2
22174574,67
22190764,24
22201960,29
22220424,18
22277838,10
22279351,5
22286061,7
22291531,5
22323169,2
22361493,12
22382004,6
22383044,3
22555693,4
22723981,5
22759918,1
22768098,13
22814426,3
22837372,1
22912151,4
22964668,1
22997828,6
23002175,4
23074410,1
23117997,14
23121005,9
23142724,3
23250680,12
23294923,2
23398856,33
23403362,2
23445988,12
23463792,4
23511131,2
23616318,2
23632980,1
23647615,1
23732256,1
23747817,12
23764297,6
23818201,58
23818374,5
23927137,3
23945820,5
24014814,9
24080896,12
24121785,18
24136128,1
24145600,52
24182683,2
24217341,12
24220739,1
24244217,1
24282135,9
24287230,2
24307141,2
24312742,10
24325841,3
24422550,5
24485032,3
24548859,7
24627376,4
24666522,10
24822676,11
24843780,1
24915918,161
24917229,1
24939746,6
24950690,51
24953071,4
24998616,4
25016151,1
25020595,1
25027090,5
25037375,4
25078196,6
25094830,4
25130784,8
25253155,11
25265422,3
25267820,1
25381704,1
25411665,2
25435282,4
25553016,62
25568094,19
25609476,2
25647750,2
25764186,9
25839925,2
25845299,14
25854592,7
25877773,1
25920278,26
25949817,1
25968445,30
25989706,8
26016972,26
26038384,3
26045555,8
26079147,16
26090474,32
26151537,1
26168841,20
26201946,1
26341804,3
26347019,33
26350857,115
26413979,41
26477842,1
26483666,12
26495698,12
26533346,4
26554307,3
26562605,1
26631104,72
26672973,4
26686169,5
26700049,3
26768049,2
26799521,11
26806959,11
26869159,1
27003037,13
27054252,18
27064812,10
27073609,10
27076521,4
27095456,3
27095502,1
27103327,18
27104319,1
27110116,9
27119414,1
27121708,4
27129698,5
27198283,7
27216619,14
27252921,1
27323246,7
27359153,6
27370800,12
27410331,5
27431571,66
27438837,5
27445748,64
27449054,14
27454445,5
27469789,8
27490655,2
27490785,2
27491377,3
27497983,4
27499791,1
27514177,5
27516351,7
27536426,8
27540819,4
27550618,4
27621548,6
