project_id,total_commit
23145940,98
23236047,1248
23422583,1274
23441058,25
23469543,30
23548765,39
23613835,346
23686364,35
23686537,1220
23778569,10
23996356,26
24119485,14
24249363,27
24796473,8
24841796,1013
24841797,1289
24864450,47
24938794,27
24965137,438
24995521,454
25031782,31
25093972,16
25134483,33
25213515,28
25223504,19
25224120,94
25239221,23
25306179,5
25333585,12
25749584,2
25833787,22
25865890,355
25978358,38
26058795,8
26140073,143
26183463,2
26196522,10
26221512,54
26343084,46
26348442,1119
26546710,146
26565684,2
26637138,16
27105955,298
27148904,46
27232554,9
27307811,522
27368905,410
27435745,41
27437161,146
27444681,23
27499326,3
27517172,23
27552291,5
27590149,25
27635292,2
27660369,1292
27683090,1
27693695,1051
27814399,52
27971506,1
27984276,17
28122956,20
28127458,39
28132474,32
28170671,9
28214738,58
28290267,1
28297166,27
28315162,331
28370725,5061
28404731,109
28429046,20
28502991,155
28506839,3
28529930,35
28544819,18
28681088,37
28684521,1139
28703055,30
28707063,19
28710839,23
28743551,107
28758168,344
28759560,3966
28782241,6737
28829184,5
28851790,177
28918263,314
28954854,954
28977818,176
28987187,191
29059585,38
29085491,27
29106306,110
29119884,4
29131111,13
29168314,5
29172907,10
29179291,16
29201156,248
29209187,51
29223153,30
29230215,193
29257438,29
29262282,149
29279380,6
29283508,8
29352963,5
29365494,8
29371159,2
29559601,2
29608430,1
29612597,10
29669543,19
29671206,23
29682661,660
29769973,35
29873244,3
29875128,4
29898474,293
29943643,9
29950771,24
30018511,43
30036529,1
30057164,14
30132647,540
30139086,187
30149217,3
30195853,52
30204263,124
30209798,1
30241299,517
30277669,6
30348799,39
30348851,8
30354843,4
30384255,2
30419846,172
30431538,347
30459700,50
30470970,145
30477312,81
30482691,50
30509508,20
30522835,3
30543774,317
30563070,61
30572041,284
30593749,2
30597136,14
30616589,74
30670454,11
30682266,131
30682296,27
30700536,11
30791858,8
30842366,58
30864796,1
30932642,269
30985086,1
30988846,15
31011708,14
31071289,12
31090977,144
31094167,17
31104691,19
31150321,1616
31167017,39
31180503,1
31206011,70
31245772,4
31266028,16
31316129,56
31316325,204
31396850,27
31406937,847
31451623,9
31462338,2
31462347,2
31463803,208
31472502,12
31499973,1609
31501992,64
31571005,328
31631681,272
31675261,4
31681105,2
31695100,74
31705535,263
32717382,65
34611402,16
34845713,9
34905286,3
36769710,4
38021184,2
38638663,1
42302402,478
43033531,4
43718170,87
43718946,105
47599463,752
47605730,421
47727488,918
47875072,6
48107396,24
48107507,2
48158858,32
48227528,45
48299894,1
48556531,1
48684479,1551
48739337,6
48762605,24
48781366,55
48804323,9
48808637,173
48985570,41
49382272,8
49910108,6
50894970,3
51924743,20
51969550,40
52103747,8
52175515,62
52252533,21
52353173,5
52364518,44
52391865,38
52409417,36
52438558,2
52442936,194
52451564,205
52465881,13
52480265,33
52485174,166
52495187,63
52498126,22
52499777,4
52513363,30
52515283,9
52553579,67
52597322,21
52675356,6
52702070,49
52705464,65
52785686,48
52835462,85
52841113,103
52845944,61
52922816,3
52955300,38
52973436,55
53086884,196
53101225,86
53109579,2
53111668,4
53114866,21
53121785,23
53121947,20
53134369,19
53189860,843
53190379,4
53215422,13
53262729,4
53316111,106
53549184,37
53553063,27
53556473,3
54073927,2
55225285,11
55268476,2
55400920,10
55591935,152
55740378,112
55747422,379
55796936,32
55806412,3
55810220,29
55868938,109
55967741,88
55977069,60
55993908,882
56039969,26
56042343,3
56113766,14
56117528,157
56191860,20
56212001,6
56261904,305
56267045,1
56274950,158
56288576,65
56403669,35
56437749,18
56475539,4
56487041,2
56492727,1
56495978,6
56506250,10
56538063,20
56567840,10
56696687,69
56708101,112
56721325,158
56783443,21
56877164,2207
56884947,81
56906605,3
56915240,6
56946745,7
56994164,1
57028197,18
57028208,4
57030725,33
57069571,26
57127045,64
57133846,2
57279702,2
57321820,8
57321907,156
57384061,10
57391746,180
57399579,4
57406153,6
57421331,17
57439611,2
57450422,304
57470220,10
57473499,24
57681063,133
57757632,24
57780513,10
57864639,2
58091237,554
59353959,13
59984495,67
60289364,323
60341054,7
60345716,1
60417422,35
60435376,15
60744518,13
60763465,13
60773968,2
61210928,12
62610755,1
64669906,26
64743828,5
