project_id,author_id,total_commit_author
1142,171838,1
1142,174663,2
1142,176772,2
1142,179512,16
1142,180593,1
1142,180811,54
1142,181974,2
1142,185185,1
1142,190758,5
1142,192222,1
1142,194198,2
1142,195949,1
1142,198758,12
1142,200214,7
1142,200529,891
1142,201015,4
1142,202970,2
1142,203127,14
1142,205000,2
1142,205206,1
1142,206098,1
1142,206725,2
1142,207862,1
1142,209918,5
1142,210464,1
1142,210671,1
1142,211783,1
1142,213225,2
1142,217483,8
1142,218571,6
1142,218935,1
1142,223158,1
1142,224275,1
1142,226992,1
1142,229306,2
1142,229800,9
1142,229947,1
1142,230654,1
1142,231597,24
1142,231941,2
1142,234181,1486
1142,234343,1
1142,237130,1
1142,238432,12
1142,240134,5
1142,240612,6
1142,241792,18
1142,242398,1
1142,243751,2
1142,244017,1
1142,244384,9
1142,244400,13
1142,247726,2
1142,248902,6
1142,251030,3
1142,251986,14
1142,253309,1
1142,253462,2
1142,256027,1
1142,259116,2
1142,259604,1
1142,260244,1
1142,261145,3
1142,262045,7
1142,262221,2
1142,264059,14
1142,264095,1
1142,264662,3
1142,267051,8
1142,270144,37
1142,270736,7
1142,271269,7
1142,271887,1
1142,282761,1
1142,283999,1
1142,284274,3
1142,285587,1
1142,289332,1
1142,292692,86
1142,300231,3
1142,300249,1
1142,301428,2
1142,303133,5
1142,304497,1
1142,305289,3
1142,305788,10
1142,306937,1
1142,311236,2
1142,311872,88
1142,312068,3
1142,317743,1
1142,318922,1
1142,325349,1
1142,325375,1
1142,325779,1
1142,326175,4
1142,328473,22
1142,333870,5
1142,339366,1
1142,340259,5
1142,342077,1
1142,344892,11
1142,344955,6
1142,345696,2
1142,346881,1
1142,347468,4
1142,350350,5
1142,351208,1
1142,352395,2
1142,353168,19
1142,355989,34
1142,356456,1
1142,357515,2
1142,359962,10
1142,361772,2
1142,364657,4
1142,366314,1
1142,366346,2
1142,367499,13
1142,368008,47
1142,369666,857
1142,372584,8
1142,373738,58
1142,373781,1
1142,374538,1
1142,377396,2
1142,379063,4
1142,380661,3
1142,389645,50
1142,390048,1
1142,390971,2
1142,394469,2
1142,394911,1
