,project_id,order,cross-entropy
153,28687875,5,2.692432
154,36761320,5,3.6129839999999995
155,31125446,5,3.243483
156,51732151,5,4.686805
157,47838894,5,5.20278
158,11161411,5,4.062571
159,27489574,5,3.6370379999999995
160,41010830,5,2.754341
161,28420571,5,4.278075
162,29026813,5,4.450476
163,30169075,5,4.854671000000001
164,35149818,5,3.9113320000000003
165,56604179,5,5.361153
166,27940657,5,4.411493
167,28261590,5,3.5927680000000004
168,40955019,5,2.0706040000000003
169,34600889,5,2.852375
170,27496810,6,4.45125
171,34561609,6,3.506425
172,52512066,6,3.5793930000000005
173,41339733,6,5.011752
174,32552050,6,1.8328194
175,31069027,6,3.7379249999999997
176,31015510,6,2.0194579999999993
177,29379373,6,2.7309039999999998
178,29126205,6,3.8808300000000004
179,47754491,6,5.212915000000001
180,27472783,6,4.905973000000001
181,31030536,6,3.9447640000000006
182,28884786,6,2.923655
183,31400029,6,2.7183789999999997
184,29817913,6,2.575462
185,31657027,6,4.257833
186,26427893,6,4.7648909999999995
187,28687875,6,2.7007540000000003
188,36761320,6,3.7529369999999993
189,31125446,6,2.9668419999999998
190,51732151,6,4.875606
191,47838894,6,5.189747
192,11161411,6,4.2164909999999995
193,27489574,6,3.6095619999999995
194,41010830,6,2.690539
195,28420571,6,4.235543999999999
196,29026813,6,4.491689
197,30169075,6,4.744062
198,35149818,6,3.866211
199,56604179,6,5.512575
200,27940657,6,4.513974
201,28261590,6,3.687569
202,40955019,6,2.000915
203,34600889,6,2.7989590000000004
204,27496810,7,4.512303
205,34561609,7,3.32053
206,52512066,7,3.099118
207,41339733,7,4.904109
208,32552050,7,1.8636013000000002
209,31069027,7,3.7377920000000002
210,31015510,7,2.385986
211,29379373,7,2.976763
212,29126205,7,4.137004999999999
213,47754491,7,5.032327
214,27472783,7,4.967524
215,31030536,7,3.7921460000000002
216,28884786,7,2.943695
217,31400029,7,2.828725
218,29817913,7,2.686839
219,31657027,7,4.672768
220,26427893,7,4.707844
221,28687875,7,2.9644630000000003
222,36761320,7,3.7381290000000007
223,31125446,7,2.997369
224,51732151,7,4.752187
225,47838894,7,5.045969
226,11161411,7,4.329698
227,27489574,7,3.6520579999999994
228,41010830,7,3.940347
229,28420571,7,4.243485000000001
230,29026813,7,4.088223
231,30169075,7,4.737814
232,35149818,7,4.01042
233,56604179,7,5.283562999999999
234,27940657,7,4.403981
235,28261590,7,3.5024279999999997
236,40955019,7,2.0009526
237,34600889,7,2.7226240000000006
238,27496810,8,4.519147
239,34561609,8,3.1427351
240,52512066,8,3.5041715000000004
241,41339733,8,4.623233
242,32552050,8,1.8271676
243,31069027,8,3.807697
244,31015510,8,2.261292
245,29379373,8,2.8547
246,29126205,8,4.174555
247,47754491,8,4.631865
248,27472783,8,4.996546
249,31030536,8,3.940856
250,28884786,8,3.020576
251,31400029,8,2.9331959999999997
252,29817913,8,2.722416
253,31657027,8,4.456132
254,26427893,8,4.615740000000001
255,28687875,8,2.989984
256,36761320,8,3.7235350000000005
257,31125446,8,3.086111
258,51732151,8,4.7502699999999995
259,47838894,8,5.201312
260,11161411,8,4.384683
261,27489574,8,3.6071210000000002
262,41010830,8,4.037560000000001
263,28420571,8,4.273308
264,29026813,8,4.400074
265,30169075,8,4.83858
266,35149818,8,3.9157160000000006
267,56604179,8,5.284475
268,27940657,8,4.395312
269,28261590,8,3.646007
270,40955019,8,1.889406
271,34600889,8,2.82562
272,27496810,9,4.41517
273,34561609,9,3.1165309999999997
274,52512066,9,3.240712
275,41339733,9,5.038128
276,32552050,9,1.940595
277,31069027,9,3.810016
278,31015510,9,2.4654760000000002
279,29379373,9,2.744347
280,29126205,9,4.193844
281,47754491,9,4.646982
282,27472783,9,5.057626000000001
283,31030536,9,3.9420599999999992
284,28884786,9,3.044301
285,31400029,9,2.661829
286,29817913,9,2.7845260000000005
287,31657027,9,4.4003250000000005
288,26427893,9,4.68759
289,28687875,9,2.8229809999999995
290,36761320,9,3.7278890000000002
291,31125446,9,2.899013
292,51732151,9,4.7916240000000005
293,47838894,9,5.344506
294,11161411,9,4.474068000000001
295,27489574,9,3.644585
296,41010830,9,3.582345
297,28420571,9,4.231255
298,29026813,9,4.3626249999999995
299,30169075,9,5.630442
300,35149818,9,3.8402209999999997
