,project_id,total_author,total_commit_project,author_id,total_commit_author,percent,contributor,max,ownership
70,28261590,5,778,8866257,87,11.182519280205655,Major,56.16966580976864,No
71,28420571,26,7444,6,58,0.7791509940891993,Minor,44.680279419666846,No
72,28420571,26,7444,11,122,1.6389038151531434,Minor,44.680279419666846,No
73,28420571,26,7444,18,26,0.3492745835572273,Minor,44.680279419666846,No
74,28420571,26,7444,27585,5,0.06716818914562063,Minor,44.680279419666846,No
75,28420571,26,7444,83717,5,0.06716818914562063,Minor,44.680279419666846,No
76,28420571,26,7444,280868,4,0.05373455131649651,Minor,44.680279419666846,No
77,28420571,26,7444,2154533,114,1.5314347125201504,Minor,44.680279419666846,No
78,28420571,26,7444,2279519,3326,44.680279419666846,Major,44.680279419666846,Yes
79,28420571,26,7444,3212479,2,0.026867275658248254,Minor,44.680279419666846,No
80,28420571,26,7444,3992646,2,0.026867275658248254,Minor,44.680279419666846,No
81,28420571,26,7444,5458821,2,0.026867275658248254,Minor,44.680279419666846,No
82,28420571,26,7444,5856537,24,0.32240730789897903,Minor,44.680279419666846,No
83,28420571,26,7444,6907587,1,0.013433637829124127,Minor,44.680279419666846,No
84,28420571,26,7444,7549792,432,5.803331542181623,Major,44.680279419666846,No
85,28420571,26,7444,7829474,2,0.026867275658248254,Minor,44.680279419666846,No
86,28420571,26,7444,10410284,20,0.2686727565824825,Minor,44.680279419666846,No
87,28420571,26,7444,10425530,373,5.0107469102632995,Major,44.680279419666846,No
88,28420571,26,7444,10478814,2457,33.00644814615798,Major,44.680279419666846,No
89,28420571,26,7444,10492493,161,2.1628156904889844,Minor,44.680279419666846,No
90,28420571,26,7444,10577336,13,0.17463729177861365,Minor,44.680279419666846,No
91,28420571,26,7444,11684513,2,0.026867275658248254,Minor,44.680279419666846,No
92,28420571,26,7444,13274039,186,2.4986566362170874,Minor,44.680279419666846,No
93,28420571,26,7444,13672575,40,0.537345513164965,Minor,44.680279419666846,No
94,28420571,26,7444,32008522,3,0.04030091348737238,Minor,44.680279419666846,No
95,28420571,26,7444,34611091,41,0.5507791509940893,Minor,44.680279419666846,No
96,28420571,26,7444,38749549,23,0.30897367006985493,Minor,44.680279419666846,No
97,28687875,6,655,302129,4,0.6106870229007634,Minor,53.89312977099237,No
98,28687875,6,655,1785969,3,0.4580152671755725,Minor,53.89312977099237,No
99,28687875,6,655,3293314,128,19.541984732824428,Major,53.89312977099237,No
100,28687875,6,655,3549488,24,3.66412213740458,Minor,53.89312977099237,No
101,28687875,6,655,3571110,143,21.83206106870229,Major,53.89312977099237,No
102,28687875,6,655,6589863,353,53.89312977099237,Major,53.89312977099237,Yes
103,28884786,68,1080,112711,2,0.18518518518518517,Minor,40.648148148148145,No
104,28884786,68,1080,121580,1,0.09259259259259259,Minor,40.648148148148145,No
105,28884786,68,1080,262687,1,0.09259259259259259,Minor,40.648148148148145,No
106,28884786,68,1080,280536,13,1.2037037037037037,Minor,40.648148148148145,No
107,28884786,68,1080,339854,27,2.5,Minor,40.648148148148145,No
108,28884786,68,1080,431435,439,40.648148148148145,Major,40.648148148148145,Yes
109,28884786,68,1080,499800,1,0.09259259259259259,Minor,40.648148148148145,No
110,28884786,68,1080,666495,1,0.09259259259259259,Minor,40.648148148148145,No
111,28884786,68,1080,1683632,25,2.314814814814815,Minor,40.648148148148145,No
112,28884786,68,1080,1788921,2,0.18518518518518517,Minor,40.648148148148145,No
113,28884786,68,1080,1904354,11,1.0185185185185186,Minor,40.648148148148145,No
114,28884786,68,1080,2219509,3,0.2777777777777778,Minor,40.648148148148145,No
115,28884786,68,1080,3181786,4,0.37037037037037035,Minor,40.648148148148145,No
116,28884786,68,1080,3217199,221,20.462962962962962,Major,40.648148148148145,No
117,28884786,68,1080,3476737,2,0.18518518518518517,Minor,40.648148148148145,No
118,28884786,68,1080,3763486,1,0.09259259259259259,Minor,40.648148148148145,No
119,28884786,68,1080,4759889,16,1.4814814814814814,Minor,40.648148148148145,No
120,28884786,68,1080,5444098,14,1.2962962962962963,Minor,40.648148148148145,No
121,28884786,68,1080,5926306,1,0.09259259259259259,Minor,40.648148148148145,No
122,28884786,68,1080,6616034,1,0.09259259259259259,Minor,40.648148148148145,No
123,28884786,68,1080,6893142,5,0.46296296296296297,Minor,40.648148148148145,No
124,28884786,68,1080,6961756,1,0.09259259259259259,Minor,40.648148148148145,No
125,28884786,68,1080,7037968,2,0.18518518518518517,Minor,40.648148148148145,No
126,28884786,68,1080,7103772,9,0.8333333333333334,Minor,40.648148148148145,No
127,28884786,68,1080,7271738,3,0.2777777777777778,Minor,40.648148148148145,No
128,28884786,68,1080,7507843,2,0.18518518518518517,Minor,40.648148148148145,No
129,28884786,68,1080,8211624,18,1.6666666666666667,Minor,40.648148148148145,No
130,28884786,68,1080,8582453,3,0.2777777777777778,Minor,40.648148148148145,No
131,28884786,68,1080,9061264,3,0.2777777777777778,Minor,40.648148148148145,No
132,28884786,68,1080,9529758,1,0.09259259259259259,Minor,40.648148148148145,No
133,28884786,68,1080,9708046,1,0.09259259259259259,Minor,40.648148148148145,No
134,28884786,68,1080,10056862,118,10.925925925925926,Major,40.648148148148145,No
135,28884786,68,1080,10149527,9,0.8333333333333334,Minor,40.648148148148145,No
136,28884786,68,1080,10585893,1,0.09259259259259259,Minor,40.648148148148145,No
137,28884786,68,1080,10633086,4,0.37037037037037035,Minor,40.648148148148145,No
138,28884786,68,1080,10952627,1,0.09259259259259259,Minor,40.648148148148145,No
139,28884786,68,1080,11184839,2,0.18518518518518517,Minor,40.648148148148145,No
140,28884786,68,1080,11622130,12,1.1111111111111112,Minor,40.648148148148145,No
141,28884786,68,1080,11783952,1,0.09259259259259259,Minor,40.648148148148145,No
142,28884786,68,1080,11963681,1,0.09259259259259259,Minor,40.648148148148145,No
143,28884786,68,1080,12056226,6,0.5555555555555556,Minor,40.648148148148145,No
144,28884786,68,1080,12445007,1,0.09259259259259259,Minor,40.648148148148145,No
145,28884786,68,1080,13220879,1,0.09259259259259259,Minor,40.648148148148145,No
146,28884786,68,1080,13439479,4,0.37037037037037035,Minor,40.648148148148145,No
147,28884786,68,1080,19436592,1,0.09259259259259259,Minor,40.648148148148145,No
148,28884786,68,1080,20267819,1,0.09259259259259259,Minor,40.648148148148145,No
149,28884786,68,1080,25886618,4,0.37037037037037035,Minor,40.648148148148145,No
150,28884786,68,1080,30382067,10,0.9259259259259259,Minor,40.648148148148145,No
151,28884786,68,1080,30719559,4,0.37037037037037035,Minor,40.648148148148145,No
152,28884786,68,1080,31268303,1,0.09259259259259259,Minor,40.648148148148145,No
