,project_id,Revision,Author,Date,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Ranking,Maintainability Index,file
49,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,571,283,259,19,153,135,24,126,14,82,64,115,96,179,1178.71,9.81707,11571.5,A,39.9252,/home/senior/senior/all_metric/56604179/25.csv
50,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,365,164,159,10,97,95,14,44,8,38,23,40,46,63,347.984,4.21053,1465.2,A,59.1201,/home/senior/senior/all_metric/56604179/19.csv
51,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,14,4,4,8,0,2,8,2,2,4,2,4,6,6,15.5098,1,15.5098,A,84.2571,/home/senior/senior/all_metric/56604179/107.csv
52,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,113,81,82,11,0,20,11,16,3,54,29,56,57,85,495.796,1.55556,771.238,A,54.5057,/home/senior/senior/all_metric/56604179/79.csv
53,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,2091,1292,1216,45,376,424,75,519,24,399,333,630,423,963,8401.71,18.9474,159190,C,0,/home/senior/senior/all_metric/56604179/59.csv
54,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,211,87,82,21,52,55,22,36,7,24,14,28,31,42,208.076,4.08333,849.645,A,64.935,/home/senior/senior/all_metric/56604179/27.csv
55,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,31,13,13,9,0,9,9,1,1,15,8,15,16,23,92,0.5,46,A,89.7709,/home/senior/senior/all_metric/56604179/108.csv
56,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,319,145,218,72,0,52,49,49,3,11,6,11,14,17,64.725,1.5,97.0876,A,61.9449,/home/senior/senior/all_metric/56604179/90.csv
57,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/28.csv
58,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,162,66,62,10,54,36,10,21,5,15,8,16,20,24,103.726,2.66667,276.603,A,68.8001,/home/senior/senior/all_metric/56604179/41.csv
59,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,84,22,18,8,29,27,10,1,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/31.csv
60,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,47,19,17,10,11,10,9,4,2,6,3,6,8,9,27,1,27,A,83.2908,/home/senior/senior/all_metric/56604179/49.csv
61,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/3.csv
62,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,170,84,93,20,37,29,11,32,6,17,12,23,23,35,158.325,4.05882,642.612,A,67.7886,/home/senior/senior/all_metric/56604179/55.csv
63,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,35,15,14,8,0,12,9,5,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/101.csv
64,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,170,118,123,15,0,36,11,25,8,60,34,68,68,102,620.921,4.53333,2814.84,A,49.8989,/home/senior/senior/all_metric/56604179/99.csv
65,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,242,106,99,16,62,67,14,24,6,17,11,18,23,29,131.183,3.17647,416.7,A,66.7622,/home/senior/senior/all_metric/56604179/6.csv
66,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,467,328,338,18,0,111,18,64,19,261,263,499,280,762,6194.51,18.1628,112510,B,11.8466,/home/senior/senior/all_metric/56604179/83.csv
67,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,29,12,10,10,3,7,9,2,2,4,2,4,6,6,15.5098,1,15.5098,A,88.3973,/home/senior/senior/all_metric/56604179/60.csv
68,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,244,174,174,15,0,55,15,27,4,9,5,10,13,15,55.5066,2.22222,123.348,A,53.067,/home/senior/senior/all_metric/56604179/105.csv
69,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,7,2,1,4,0,1,5,0,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/22.csv
