project_id,add,delete,churn,pathname
31069027,24,0,24,website_cmnt_custom_snippet/__openerp__.py
31069027,2,2,4,picking_invoice_pending/stock_picking.py
31069027,6,5,11,stock_picking_review/stock.py
31069027,1,1,2,nan_partner_risk/risk.py
31069027,1,1,2,account_invoice_bank_usability/__openerp__.py
31069027,20,0,20,account_invoice_bank_usability/migrations/8.0.1.0.0/post-migration.py
31069027,11,11,22,account_invoice_bank_usability/models/stock_picking.py
31069027,2,2,4,sale_early_payment_discount/account_invoice.py
31069027,10,1,11,sale_early_payment_discount/account_invoice.py
31069027,7,0,7,sale_early_payment_discount/product_category.py
31069027,18,4,22,sale_early_payment_discount/sale.py
31069027,7,11,18,rappel/rappel_info.py
31069027,1,0,1,hide_product_variants/__init__.py
31069027,16,0,16,hide_product_variants/product.py
31069027,2,1,3,sale_early_payment_discount/__openerp__.py
31069027,2,2,4,product_virtual_stock_conservative/models/product.py
31069027,1,0,1,odoo_signup_auth_oauth/__openerp__.py
31069027,44,0,44,odoo_signup_auth_oauth/controllers/main.py
31069027,2,1,3,odoo_signup_auth_oauth/controllers/main.py
31069027,5,0,5,odoo_signup_auth_oauth/__init__.py
31069027,26,0,26,odoo_signup_auth_oauth/__openerp__.py
31069027,5,0,5,odoo_signup_auth_oauth/controllers/__init__.py
31069027,33,0,33,odoo_signup_auth_oauth/controllers/main.py
31069027,2,2,4,picking_invoice_rel/stock.py
31069027,3,5,8,picking_invoice_rel/stock.py
31069027,1,1,2,picking_invoice_rel/__openerp__.py
31069027,1,0,1,picking_invoice_rel/stock.py
31069027,1,0,1,account_direct_debit_with_refunds/__openerp__.py
31069027,2,0,2,account_direct_debit_with_refunds/__init__.py
31069027,17,0,17,account_direct_debit_with_refunds/__openerp__.py
31069027,1,0,1,account_direct_debit_with_refunds/models/__init__.py
31069027,27,0,27,account_direct_debit_with_refunds/models/payment_line.py
31069027,1,0,1,account_direct_debit_with_refunds/wizard/__init__.py
31069027,17,0,17,account_direct_debit_with_refunds/wizard/payment_order_create.py
31069027,2,0,2,account_invoice_bank_usability/__init__.py
31069027,39,0,39,account_invoice_bank_usability/__openerp__.py
31069027,2,0,2,account_invoice_bank_usability/models/__init__.py
31069027,151,0,151,account_invoice_bank_usability/models/account_invoice.py
31069027,60,0,60,account_invoice_bank_usability/models/stock_picking.py
31069027,1,0,1,account_invoice_bank_usability/wizard/__init__.py
31069027,30,0,30,account_invoice_bank_usability/wizard/account_invoice_refund.py
31069027,24,0,24,account_move_import/__init__.py
31069027,40,0,40,account_move_import/__openerp__.py
31069027,23,0,23,account_move_import/models/__init__.py
31069027,42,0,42,account_move_import/models/account_move.py
31069027,23,0,23,account_move_import/tests/__init__.py
31069027,51,0,51,account_move_import/tests/test_import_move_line.py
31069027,23,0,23,account_move_import/wizard/__init__.py
31069027,576,0,576,account_move_import/wizard/import_move_line_wizard.py
31069027,2,1,3,account_banking_sepadd_groupby_partner/__openerp__.py
31069027,6,1,7,account_banking_sepadd_groupby_partner/payment_order.py
31069027,1,2,3,picking_invoice_rel/__openerp__.py
31069027,1,1,2,product_cost_management/__openerp__.py
31069027,2,2,4,product_cost_management/models/mrp_production.py
31069027,3,3,6,stock_transfer_uos/wizard/stock_transfer_details.py
31069027,18,8,26,stock_transfer_uos/wizard/stock_transfer_details.py
31069027,0,0,0,{strock_transfer_uos => stock_transfer_uos}/__init__.py
31069027,0,0,0,{strock_transfer_uos => stock_transfer_uos}/__openerp__.py
31069027,0,0,0,{strock_transfer_uos => stock_transfer_uos}/wizard/__init__.py
31069027,0,0,0,{strock_transfer_uos => stock_transfer_uos}/wizard/stock_transfer_details.py
31069027,17,3,20,strock_transfer_uos/wizard/stock_transfer_details.py
31069027,22,0,22,document_gdrive/__init__.py
31069027,43,0,43,document_gdrive/__openerp__.py
31069027,54,0,54,document_gdrive/res_config.py
31069027,21,0,21,document_gdrive/wizard/__init__.py
31069027,55,0,55,document_gdrive/wizard/document_gdrive.py
31069027,22,0,22,product_cost_management/__init__.py
31069027,50,0,50,product_cost_management/__openerp__.py
31069027,25,0,25,product_cost_management/models/__init__.py
31069027,123,0,123,product_cost_management/models/cost_structure_elements.py
31069027,64,0,64,product_cost_management/models/cost_type.py
31069027,24,0,24,product_cost_management/models/mrp_production.py
31069027,146,0,146,product_cost_management/models/product.py
31069027,98,0,98,product_cost_management/models/stock.py
31069027,22,0,22,product_cost_management/wizard/__init__.py
31069027,263,0,263,product_cost_management/wizard/product_costs.py
31069027,110,0,110,product_cost_management/wizard/stock_valuation_history.py
31069027,22,0,22,purchases_forecast/__init__.py
31069027,41,0,41,purchases_forecast/__openerp__.py
31069027,238,0,238,purchases_forecast/purchases_forecast.py
31069027,21,0,21,purchases_forecast/wizard/__init__.py
31069027,82,0,82,purchases_forecast/wizard/merge_purchase_forecast.py
31069027,22,0,22,sales_forecast/__init__.py
31069027,43,0,43,sales_forecast/__openerp__.py
31069027,291,0,291,sales_forecast/sales_forecast.py
31069027,23,0,23,sales_forecast/wizard/__init__.py
31069027,148,0,148,sales_forecast/wizard/get_sales_forecast.py
31069027,82,0,82,sales_forecast/wizard/merge_sales_forecast.py
31069027,101,0,101,sales_forecast/wizard/scale_sales_forecast.py
31069027,0,1,1,account_due_dates_str/models/invoice.py
31069027,1,1,2,account_due_dates_str/__openerp__.py
31069027,1,1,2,account_due_dates_str/models/invoice.py
31069027,1,1,2,sale_early_payment_discount/sale.py
31069027,7,5,12,sale_early_payment_discount/account_invoice.py
31069027,9,8,17,sale_early_payment_discount/__openerp__.py
31069027,3,0,3,sale_early_payment_discount/partner_payment_term_early_discount.py
31069027,7,5,12,sale_early_payment_discount/sale.py
31069027,1,1,2,account_due_dates_str/models/invoice.py
31069027,1,1,2,account_due_dates_str/models/invoice.py
31069027,7,10,17,account_due_dates_str/models/invoice.py
31069027,3,11,14,account_due_dates_str/models/invoice.py
31069027,22,0,22,account_due_dates_str/__init__.py
31069027,34,0,34,account_due_dates_str/__openerp__.py
31069027,22,0,22,account_due_dates_str/models/__init__.py
31069027,73,0,73,account_due_dates_str/models/invoice.py
31069027,4,6,10,sale_early_payment_discount/account_invoice.py
31069027,1,7,8,stock_picking_review/stock.py
31069027,1,3,4,stock_picking_review/wizard/fast_return.py
31069027,4,0,4,stock_fix_child_locations/__init__.py
31069027,20,0,20,stock_fix_child_locations/__openerp__.py
31069027,4,0,4,stock_fix_child_locations/models/__init__.py
31069027,24,0,24,stock_fix_child_locations/models/stock.py
31069027,10,2,12,sale_early_payment_discount/account_invoice.py
31069027,16,15,31,picking_invoice_rel/stock.py
31069027,1,1,2,product_stock_unsafety/product_stock_unsafety.py
31069027,5,0,5,stock_transfer_only_available/__init__.py
31069027,15,0,15,stock_transfer_only_available/__openerp__.py
31069027,4,0,4,stock_transfer_only_available/models/__init__.py
31069027,30,0,30,stock_transfer_only_available/models/stock.py
31069027,4,0,4,stock_transfer_only_available/wizard/__init__.py
31069027,55,0,55,stock_transfer_only_available/wizard/stock_transfer_details.py
31069027,0,1,1,picking_invoice_rel/__init__.py
31069027,0,44,44,picking_invoice_rel/sale.py
31069027,14,0,14,picking_invoice_pending/stock_picking.py
31069027,3,3,6,picking_invoice_rel/sale.py
31069027,1,1,2,sale_margin_percentage/models/sale.py
31069027,1,1,2,sale_margin_percentage/models/sale.py
31069027,1,0,1,account_bank_reconcile_filter/__init__.py
31069027,34,0,34,account_bank_reconcile_filter/__openerp__.py
31069027,1,0,1,account_bank_reconcile_filter/models/__init__.py
31069027,41,0,41,account_bank_reconcile_filter/models/account_bank_statement_line.py
31069027,10,10,20,stock_picking_review/stock.py
31069027,17,16,33,stock_picking_valued/models/stock.py
31069027,6,6,12,stock_picking_valued_early_discount/models/stock.py
31069027,4,2,6,sale_margin_percentage/models/sale.py
31069027,1,1,2,sale_margin_percentage/models/sale.py
31069027,13,3,16,sale_margin_percentage/models/sale.py
31069027,5,0,5,strock_transfer_uos/__init__.py
