project_id,author_id,total_commit_author
34600889,8704244,2
35149818,8658508,576
36761320,362454,861
36761320,671144,165
36761320,1730678,15
36761320,4038471,60
36761320,4038472,1
36761320,9345699,22
40955019,284947,1
40955019,2123592,133
40955019,6207438,235
40955019,8066196,2
40955019,8689354,137
41010830,6103130,565
41339733,176825,688
47754491,6059,299
47754491,13725662,465
47838894,2903,2
47838894,9233,1
47838894,28712,2
47838894,103167,27
47838894,175213,1
47838894,213025,5
47838894,265038,1
47838894,283083,1
47838894,293979,2
47838894,307778,1
47838894,312857,7
47838894,314843,1
47838894,323541,3
47838894,352519,1
47838894,383951,1
47838894,401496,1
47838894,562976,2
47838894,581777,5
47838894,670546,3
47838894,680879,1
47838894,746815,4
47838894,752871,2
47838894,930912,2
47838894,1030603,1
47838894,1179543,1
47838894,1215100,6
47838894,1276772,2
47838894,1406941,1535
47838894,1535784,1
47838894,1558878,1
47838894,1592617,1
47838894,1874658,1
47838894,2039115,2
47838894,2237009,2
47838894,2266269,1
47838894,2335130,4
47838894,2473673,2
47838894,2747992,3
47838894,3091942,1
47838894,3107528,1
47838894,3238270,2
47838894,3250952,2
47838894,3384244,1
47838894,3384494,1
47838894,3453501,2
47838894,3520781,2
47838894,3601380,3
47838894,3635598,1
47838894,3803628,1
47838894,4022573,10
47838894,4025752,2
47838894,4189018,2
47838894,4256631,5
47838894,4400345,2
47838894,4448629,1
47838894,5027465,1
47838894,6856898,1
47838894,7423915,7
47838894,7478883,1
47838894,7713122,1
47838894,7719570,1
47838894,8213127,1
47838894,8510222,2
47838894,8767531,1
47838894,8866816,1
47838894,9409675,1
47838894,9653766,1
47838894,10271339,5
47838894,10650777,2
47838894,10939101,5
47838894,11020305,1
47838894,11260967,1
47838894,13133179,1
47838894,13551371,1
47838894,13645662,1
47838894,14347455,3
47838894,28270294,1
47838894,30499692,1
47838894,31770754,1
47838894,32092781,1
47838894,32976720,6
47838894,34480028,1
47838894,34539842,2
47838894,35534962,1
47838894,36287129,18
47838894,36386880,1
