project_id,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Index
29379373,94.48,62.57333333333333,71.02666666666667,4.933333333333334,3.533333333333333,15.133333333333333,4.786666666666667,13.546666666666667,3.533333333333333,24.106666666666666,14.466666666666667,28.346666666666668,27.64,42.81333333333333,253.58230279999998,2.0409524,1005.4724806666669,40.95742071671012
29817913,138.23611111111111,80.83333333333333,99.68055555555556,4.958333333333333,5.3125,22.555555555555557,10.6875,18.09722222222222,1.0138888888888888,2.5555555555555554,1.5763888888888888,2.736111111111111,3.5694444444444446,4.3125,13.985563055555543,0.5498884513888888,31.472137222222255,45.94618810231681
30169075,127.5813953488372,53.674418604651166,72.65116279069767,14.511627906976743,21.441860465116278,23.930232558139537,9.55813953488372,13.023255813953488,2.1627906976744184,17.023255813953487,10.511627906976743,19.86046511627907,19.186046511627907,30.372093023255815,187.3336976744186,1.1750071162790698,1137.2648230232555,41.734369080547175
31015510,267.22222222222223,168.57142857142858,212.93650793650792,14.476190476190476,2.507936507936508,38.22222222222222,13.555555555555555,26.206349206349206,2.7142857142857144,23.07936507936508,17.22222222222222,31.603174603174605,25.793650793650794,48.82539682539682,319.79216222222226,1.7516699523809527,1937.108579682539,28.147687470630753
31030536,145.27868852459017,59.950819672131146,110.31147540983606,4.901639344262295,3.9508196721311477,27.262295081967213,3.7540983606557377,17.80327868852459,2.8360655737704916,13.868852459016393,8.491803278688524,16.098360655737704,16.704918032786885,24.59016393442623,127.13983,1.6467784754098362,433.94407344262305,38.31354499574454
31069027,53.711920529801326,21.90728476821192,32.99337748344371,14.609271523178808,0.9437086092715232,5.357615894039735,14.417218543046358,9.5,1.6523178807947019,9.02980132450331,5.66887417218543,10.824503311258278,10.682119205298013,16.49337748344371,101.74900960264897,0.9755406192052979,652.9106940397352,51.542562346639215
31125446,98.52631578947368,63.10526315789474,63.421052631578945,23.05263157894737,0.0,12.052631578947368,23.05263157894737,14.052631578947368,5.368421052631579,49.05263157894737,34.578947368421055,67.10526315789474,54.421052631578945,101.6842105263158,631.0460052631579,3.934856842105263,3398.570631578947,39.18996029226078
31400029,59.57831325301205,24.987951807228917,40.43975903614458,5.343373493975903,2.5783132530120483,11.873493975903614,4.686746987951807,5.493975903614458,0.7228915662650602,3.0,1.9096385542168675,3.6204819277108435,3.7228915662650603,5.530120481927711,30.85170704819278,0.44845560240963855,210.8200260240964,53.78222751814743
31657027,184.29090909090908,106.94545454545455,111.38181818181818,11.018181818181818,20.745454545454546,40.30909090909091,11.854545454545455,34.27272727272727,5.890909090909091,31.327272727272728,19.272727272727273,36.72727272727273,37.21818181818182,56.0,332.5542523636364,3.4428225454545456,2236.259161090909,33.082969947936846
32552050,40.855932203389834,15.14406779661017,30.555084745762713,1.8940677966101696,1.5466101694915255,7.012711864406779,1.7415254237288136,3.440677966101695,0.5338983050847458,2.194915254237288,1.4364406779661016,2.635593220338983,2.7288135593220337,4.072033898305085,20.30700008474577,0.32924327542372883,91.45787211864408,57.98550797172361
34561609,173.67796610169492,108.05084745762711,108.72881355932203,17.135593220338983,19.372881355932204,30.593220338983052,14.983050847457626,17.271186440677965,4.779661016949152,46.57627118644068,31.491525423728813,59.813559322033896,51.355932203389834,91.30508474576271,652.5223950847457,3.05217006779661,5533.780641694916,33.54839182848627
