project_id,order,cross-entropy,Maintainability Index,numOfPriorDefects,churn
35149818,9,3,74,0,22732
35149818,10,3,74,0,22732
35149818,11,3,74,0,22732
35149818,12,3,74,0,22732
35149818,13,3,74,0,22732
35149818,14,3,74,0,22732
35149818,15,3,74,0,22732
56604179,1,7,67,0,140711
56604179,2,5,67,0,140711
56604179,3,5,67,0,140711
56604179,4,5,67,0,140711
56604179,5,5,67,0,140711
56604179,6,5,67,0,140711
56604179,7,5,67,0,140711
56604179,8,5,67,0,140711
56604179,9,5,67,0,140711
56604179,10,5,67,0,140711
56604179,11,5,67,0,140711
56604179,12,5,67,0,140711
56604179,13,5,67,0,140711
56604179,14,5,67,0,140711
56604179,15,5,67,0,140711
27940657,1,6,63,0,25824
27940657,2,5,63,0,25824
27940657,3,4,63,0,25824
27940657,4,4,63,0,25824
27940657,5,4,63,0,25824
27940657,6,4,63,0,25824
27940657,7,4,63,0,25824
27940657,8,4,63,0,25824
27940657,9,4,63,0,25824
27940657,10,4,63,0,25824
27940657,11,4,63,0,25824
27940657,12,4,63,0,25824
27940657,13,4,63,0,25824
27940657,14,4,63,0,25824
27940657,15,4,63,0,25824
28261590,1,6,53,4,112487
28261590,2,4,53,4,112487
28261590,3,3,53,4,112487
28261590,4,3,53,4,112487
28261590,5,3,53,4,112487
28261590,6,3,53,4,112487
28261590,7,3,53,4,112487
28261590,8,3,53,4,112487
28261590,9,3,53,4,112487
28261590,10,3,53,4,112487
28261590,11,3,53,4,112487
28261590,12,3,53,4,112487
28261590,13,3,53,4,112487
28261590,14,3,53,4,112487
28261590,15,3,53,4,112487
40955019,1,6,86,0,415143
40955019,2,4,86,0,415143
40955019,3,2,86,0,415143
40955019,4,2,86,0,415143
40955019,5,2,86,0,415143
40955019,6,2,86,0,415143
40955019,7,2,86,0,415143
40955019,8,1,86,0,415143
40955019,9,1,86,0,415143
40955019,10,1,86,0,415143
40955019,11,1,86,0,415143
40955019,12,1,86,0,415143
40955019,13,1,86,0,415143
40955019,14,1,86,0,415143
40955019,15,1,86,0,415143
34600889,1,6,92,169,13472
34600889,2,4,92,169,13472
34600889,3,3,92,169,13472
34600889,4,2,92,169,13472
34600889,5,2,92,169,13472
34600889,6,2,92,169,13472
34600889,7,2,92,169,13472
34600889,8,2,92,169,13472
34600889,9,2,92,169,13472
34600889,10,3,92,169,13472
34600889,11,2,92,169,13472
34600889,12,3,92,169,13472
34600889,13,3,92,169,13472
34600889,14,3,92,169,13472
34600889,15,2,92,169,13472
