project_id,hv,cc,sloc,percent,path
4449031,57.110323830864054,12,44,0.8567727272727271,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/bunchhelpers.py
4449031,15.509775004326936,2,14,3.590285714285714,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/useful_scripts/eppy_version.py
4449031,70.32403072095333,33,87,0.9388390804597702,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/idf_helpers.py
4449031,262.3084942066396,40,140,0.94245,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/results/readhtml.py
4449031,108.0,18,58,2.8165172413793105,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/useful_scripts/renamecolon.py
4449031,59.207035490257475,4,46,2.1853913043478257,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/useful_scripts/eppyreadtest_file.py
4449031,2.0,13,60,1.6754666666666667,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/useful_scripts/relatedobjects.py
4449031,0.0,1,17,2.2175294117647057,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/useful_scripts/doc_images.py
4449031,4.754887502163469,6,29,4.549758620689655,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/useful_scripts/autosize.py
4449031,531.6201536047666,61,161,1.13172049689441,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/EPlusInterfaceFunctions/eplusdata.py
4449031,145.71363126237387,50,114,2.2596754385964912,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/EPlusInterfaceFunctions/iddgroups.py
4449031,4.754887502163469,9,33,7.234969696969697,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/EPlusInterfaceFunctions/iddindex.py
4449031,0.0,2,20,2.1990499999999997,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/EPlusInterfaceFunctions/mylib1.py
4449031,15.509775004326936,1,61,0.824,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/function_helpers.py
4449031,6.339850002884625,3,52,2.0540576923076923,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/EPlusInterfaceFunctions/readidf.py
4449031,516.1907061194062,70,247,1.6788582995951418,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/EPlusInterfaceFunctions/parse_idd.py
4449031,0.0,15,37,0.0,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/EPlusInterfaceFunctions/structures.py
4449031,137.06477719407374,5,45,1.8150888888888885,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/geometry/volume_zone.py
4449031,289.9853819512694,6,44,1.856340909090909,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/geometry/height_surface.py
4449031,4.754887502163469,2,12,4.71225,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/geometry/area_zone.py
4449031,0.0,1,325,0.0,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/geometry/mcve.py
4449031,356.6165626622602,4,36,2.443388888888889,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/geometry/int2lines.py
4449031,965.7687744246493,12,88,1.7849431818181818,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/geometry/surface.py
4449031,274.8409153808369,29,173,0.5084508670520231,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/runner/run_functions.py
4449031,1090.6313201833855,39,230,1.0380608695652174,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/EPlusInterfaceFunctions/mylib2.py
4449031,0.0,1,44,22.99006818181818,/home/senior/senior/Sample_Projects/round_2/4449031/docs/source/conf.py
